IP:PORT, LOSS, DELAY
162.159.195.82:4198,10.00%,241 ms
188.114.96.87:894,10.00%,241 ms
188.114.98.65:4198,10.00%,242 ms
188.114.97.42:4198,10.00%,243 ms
188.114.97.42:894,10.00%,243 ms
188.114.99.54:4198,10.00%,244 ms
188.114.97.163:894,10.00%,244 ms
162.159.195.32:4198,10.00%,245 ms
188.114.97.34:894,10.00%,245 ms
188.114.98.65:894,10.00%,245 ms
188.114.99.223:4198,10.00%,246 ms
162.159.192.154:894,10.00%,247 ms
188.114.98.58:894,10.00%,248 ms
188.114.98.58:4198,10.00%,249 ms
188.114.96.236:4198,10.00%,249 ms
162.159.195.48:894,10.00%,249 ms
188.114.96.87:4198,10.00%,250 ms
188.114.99.162:894,10.00%,251 ms
188.114.99.54:894,10.00%,251 ms
188.114.98.21:894,10.00%,251 ms
162.159.195.112:4198,10.00%,252 ms
162.159.192.154:4198,10.00%,252 ms
188.114.97.18:894,10.00%,253 ms
162.159.195.44:894,10.00%,254 ms
162.159.192.59:894,10.00%,255 ms
162.159.195.48:4198,10.00%,258 ms
188.114.97.70:4198,10.00%,258 ms
188.114.98.21:4198,10.00%,259 ms
162.159.195.112:894,10.00%,259 ms
162.159.195.44:4198,10.00%,259 ms
188.114.99.223:894,10.00%,259 ms
188.114.99.126:4198,10.00%,259 ms
162.159.192.21:4198,10.00%,259 ms
162.159.195.169:4198,10.00%,260 ms
188.114.98.116:4198,10.00%,260 ms
188.114.97.18:4198,10.00%,260 ms
162.159.195.168:4198,10.00%,262 ms
162.159.195.168:894,10.00%,262 ms
162.159.192.21:894,10.00%,262 ms
162.159.195.169:894,10.00%,262 ms
188.114.96.122:894,10.00%,262 ms
162.159.192.59:4198,10.00%,263 ms
188.114.96.236:894,10.00%,263 ms
188.114.96.105:894,10.00%,265 ms
188.114.99.210:4198,10.00%,265 ms
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
